id;control;produto;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
31;de_Compostos;Compostos;0,00;45.000,00;1.358.300,00;1.628.000,00;0,00;0,00;0,00;0,00;75.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.000,00;1.900,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
32;de_Jeropiga;Jeropiga;0,00;0,00;0,00;0,00;0,00;0,00;107.500,00;12.500,00;60.000,00;20.000,00;0,00;0,00;0,00;0,00;0,00;234.500,00;173.000,00;122.000,00;61.000,00;42.000,00;0,00;0,00;60.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;69.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.000,00;3.540,00;5.000,00;4.500,00
33;de_Filtrado;Filtrado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;88.000,00;39.000,00;11.000,00;18.000,00;11.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
34;de_Frisante;Frisante;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;831.000,00;1.003.800,00;778.500,00;1.009.000,00;26.069,00;0,00;0,00;0,00;0,00;0,00;0,00;1.390,00;0,00;0,00
35;de_Vinho leve;Vinho leve;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;249.000,00;264.000,00;192.800,00;144.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11.000,00;6.000,00;16.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.000,00;0,00;0,00;0,00;0,00;0,00
36;de_Vinho licoroso;Vinho licoroso;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;77.800,00;125.700,00;28.500,00;27.926,00;65.650,00;0,00;15.000,00;0,00;0,00;100,00;36.000,00;56.000,00;24.200,00;110.820,00;124.303,00;99.485,00;48.678,00;30.000,00;67.000,00;73.600,00
37;de_Brandy;Brandy;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13.000,00;0,00;0,00;5.216,00;6.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;120,00;0,00;450,00
38;de_Destilado;Destilado;830.030,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;342.650,00;222.230,00;472.576,00;287.220,00;176.800,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.350,00;1.960,00;0,00;0,00;0,00;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;680,00;0,00;0,00;0,00;0,00;0,00
39;de_Bagaceira;Bagaceira;961.290,00;913.200,00;755.350,00;661.270,00;424.620,00;576.098,00;705.912,00;828.000,00;698.200,00;938.090,00;0,00;0,00;0,00;0,00;0,00;299.500,00;156.100,00;325.600,00;29.000,00;52.000,00;55.000,00;15.000,00;10.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12.700,00;10.350,00;0,00;26.800,00;66.082,00;32.050,00;24.250,00;48.500,00;8.500,00;6.500,00;0,00;0,00;0,00;0,00;0,00;1.350,00;1.000,00;900,00;2.100,00;10.495,00;0,00;12.060,00;4.998,00;0,00
40;de_Licor de bagaceira;Licor de bagaceira;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.507,00;5.800,00;0,00;0,00;0,00
