id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
21;ti_Dom Felder;Dom Felder;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17.590,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
22;ti_Dolcetto;Dolcetto;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.496,00;5.634,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
23;ti_Durif;Durif;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11.134,00;7.496,00;3.052,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
24;ti_Egiodola;Egiodola;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;188.625,00;325.911,00;373.345,00;512.792,00;625.861,00;859.275,00;1.070.153,00;899.584,00;1.265.676,00;1.366.406,00;1.157.679,00;845.205,00;1.544.746,00;992.241,00;1.059.250,00;911.280,00;1.053.654,00;519.874,00;1.567.341,00;1.047.960,00;0;1.067.591,00;6.322.152,00;0;1.439.539,80
25;ti_Ekigaina;Ekigaina;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.720,00;0,00;0,00;1.350,00;2.630,00;1.720,00;600,00;1.090,00;0,00;1.340,00;2.070,00;0;1.990,00;2.202.348,00;0;1.000,00
26;ti_Festival (Sugraone);Festival (Sugraone);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.007,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
27;ti_Franconia;Franconia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.633,00;0,00;0,00;9.310,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
28;ti_Freisa;Freisa;1.661,00;1.519,00;1.005,00;0,00;713,00;1.713,00;1.098,00;0,00;0,00;382,00;0,00;0,00;0,00;213,00;0,00;4.208,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.727,00;0,00;0,00;0,00;0,00;0,00;0,00;41.403,00;24.452,00;0,00;22.610,00;14.020,00;0;25.330,00;0,00;0;0,00
29;ti_Gamay St Romain;Gamay St Romain;0,00;0,00;189,00;0,00;0,00;3.498,00;0,00;1.226,00;14.517,00;37.287,00;52.878,00;167.142,00;298.609,00;430.780,00;519.843,00;895.817,00;788.089,00;603.449,00;777.214,00;735.344,00;399.023,00;255.846,00;297.597,00;253.209,00;137.064,00;20.523,00;66.767,00;140.363,00;154.220,00;569.713,00;86.966,00;55.041,00;46.993,00;40.051,00;32.533,00;64.571,00;22.755,00;45.266,00;59.576,00;38.260,00;44.153,00;20.830,00;10.995,00;11.615,00;11.180,00;31.935,00;0,00;12.835,00;12.675,00;0;0,00;0,00;0;0,00
30;ti_Gamay Beaujolais;Gamay Beaujolais;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;48.410,00;0,00;0,00;447.830,00;175.560,00;558.237,00;364.550,00;311.457,00;386.708,00;506.944,00;548.553,00;528.897,00;320.585,00;450.296,00;215.226,00;557.368,00;351.732,00;230.492,00;342.824,00;508.063,00;339.559,00;249.021,00;320.115,00;316.366,00;208.276,00;84.074,00;164.201,00;163.664,00;135.405,00;113.038,00;121.516,00;45.952,00;150.331,00;152.384,00;0;143.278,00;5.375.879,00;0;126.667,00
31;ti_Gra0 Noir;Gra0 Noir;0,00;930,00;603,00;0,00;0,00;3.056,00;1.787,00;0,00;713,00;6.320,00;3.012,00;0,00;0,00;0,00;0,00;27.537,00;21,00;56,00;4.264,00;0,00;0,00;0,00;245,00;410,00;420,00;440,00;378,00;520,00;422,00;0,00;0,00;0,00;459,00;536,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
32;ti_Grenache;Grenache;19.753,00;22.418,00;18.488,00;4.924,00;19.945,00;30.867,00;1.541,00;15.367,00;13.012,00;6.100,00;6.268,00;12.138,00;17.212,00;12.094,00;16.473,00;0,00;15.851,00;6.043,00;12.090,00;18.136,00;3.289,00;1.305,00;484,00;406,00;0,00;0,00;0,00;0,00;0,00;0,00;298,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.180,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1.130,00;1.715.870,00;0;830,00
33;ti_Jaen;Jaen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;576,00;2.824,00;4.290,00;215,00;1.037,00;3.642,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;
34;ti_Lagrein;Lagrein;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;190,00;420,00;670,00;5.670,00;3.288,00;800,00;15.300,00;750,00;1.400,00;0,00;1.430,00;2.700,00;0;3.020,00;94.970,00;0;3.100,00
35;ti_Lambrusco;Lambrusco;2.259,00;2.670,00;100,00;0,00;0,00;0,00;0,00;0,00;0,00;949,00;3.566,00;13.886,00;300,00;13.145,00;28.317,00;14.360,00;6.245,00;7.887,00;5.543,00;52.860,00;15.560,00;23.396,00;32.453,00;2.985,00;67.420,00;14.287,00;20.805,00;46.645,00;45.240,00;67.305,00;45.815,00;82.657,00;143.175,00;156.548,00;113.831,00;96.040,00;75.631,00;96.068,00;113.388,00;111.537,00;68.480,00;94.480,00;52.740,00;56.120,00;29.890,00;39.990,00;19.784,00;61.779,00;44.511,00;0;29.320,00;3.221.972,00;0;15.620,00
