id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
33;ti_Seibel;Seibel;11.803.494,00;8.309.720,00;8.786.979,00;7.724.880,00;12.179.223,00;11.082.086,00;9.573.812,00;11.772.470,00;9.740.290,00;10.776.565,00;8.757.496,00;13.187.936,00;10.317.316,00;8.861.295,00;12.246.571,00;13.394.429,00;7.940.611,00;8.747.755,00;19.689.011,00;11.640.275,00;14.188.377,00;10.227.279,00;13.785.350,00;12.099.604,00;20.816.629,00;16.575.585,00;14.167.124,00;18.914.686,00;14.338.821,00;27.946.347,00;31.253.537,00;20.842.760,00;4.101,00;2.550,00;6.249.764,00;5.824.509,00;4.764.595,00;8.603.117,00;10.059.544,00;7.731.667,00;6.274.394,00;6.922.384,00;4.056.234,00;6.727.381,00;6.367.679,00;6.075.113,00;2.933.430,00;7.812.493,00;5.293.981,00;0;3.660.374,00;351.956,00;0;2.600.315,00
34;ti_Seibel2(seibeleto);Seibel 2 (seibeleto);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.842.841,00;6.693.445,00;6.423.177,00;6.330.118,00;2.559.450,00;2.417.681,00;3.349.837,00;4.276.672,00;3.974.185,00;3.062.997,00;2.839.703,00;2.491.824,00;275.998,00;201.931,00;732.685,00;1.387.425,00;2.476.079,00;1.967.808,00;0;4.538.123,00;26.032,00;0;5.387.790,00
35;ti_SeyveWillard(Tinta);Seyve Willard (Tinta);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;679.645,00;862.334,00;762.802,00;1.003.113,00;1.120.345,00;1.032.585,00;949.623,00;1.412.382,00;1.963.751,00;1.626.063,00;1.251.956,00;1.602.693,00;1.330.096,00;1.087.889,00;1.344.919,00;1.166.954,00;571.180,00;1.098.564,00;802.673,00;0;735.427,00;67.600,00;0;1.002.782,00
36;ti_Vênus;Vênus;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13.720,00;0,00;0,00;38.540,00;15.460,00;0,00;12.240,00;21.154,00;13.925,00;13.910,00;67.689,00;2.308,00;2.000,00;6.180,00;0;2.590,00;100.570,00;0;68.626,00
37;BRANCASEROSADAS;BRANCAS E ROSADAS;985.007,00;557.294,00;898.576,00;231.984,00;2.865.338,00;2.717.527,00;1.269.187,00;2.587.615,00;3.780.127,00;4.786.127,00;4.360.271,00;7.412.211,00;13.716.818,00;9.046.967,00;14.368.810,00;21.256.077,00;14.188.471,00;17.527.966,00;27.423.226,00;25.521.025,00;28.728.839,00;23.233.994,00;19.198.967,00;28.443.405,00;29.216.963,00;30.114.221,00;21.299.828,00;42.990.852,00;25.221.416,00;41.020.063,00;49.381.965,00;61.332.258,00;57.315.866,00;53.156.823,00;68.479.972,00;63.289.135,00;56.411.010,00;67.888.444,00;83.917.393,00;71.110.317,00;71.589.617,00;94.137.074,00;93.549.583,00;77.174.438,00;68.847.961,00;95.439.129,00;32.747.787,00;74.888.637,00;79.044.471,00;0;56.980.104,00;175.576.873,00;0;62.577.564,00
38;br_Baco;Baco;4.647,00;5.873,00;5.084,00;0,00;0,00;2.610,00;4.172,00;13.095,00;0,00;0,00;0,00;0,00;319,00;0,00;0,00;1.688,00;0,00;0,00;0,00;448,00;739,00;1.699,00;1.262,00;0,00;1.952,00;1.048,00;1.482,00;1.030,00;1.012,00;106,00;0,00;0,00;155,00;0,00;0,00;0,00;28.300,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
39;br_Bokay;Bokay;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32.810,00;56.250,00;57.680,00;79.390,00;84.430,00;37.890,00;105.130,00;80.470,00;0;91.980,00;12.830,00;0;84.670,00
40;br_BRS Bibiana ;BRS Bibiana ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;+;25.491,00
41;br_BRSClara;BRS Clara;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.560,00;4.820,00;4.120,00;81.130,00;0,00;0,00;390,00;0,00;0,00;0;0,00;0,00;0;0,00
42;br_BRSLorena;BRS Lorena;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;151.131,00;565.303,00;1.366.570,00;3.312.021,00;4.861.871,00;6.117.429,00;4.804.262,00;7.776.413,00;8.792.381,00;7.354.725,00;9.165.164,00;9.168.814,00;4.520.872,00;11.704.478,00;7.529.654,00;0;7.165.025,00;23.133.629,00;0;10.186.931,00
43;br_Couderc13;Couderc 13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;322.338,00;589.380,00;906.354,00;982.883,00;1.977.492,00;2.218.296,00;2.614.887,00;2.790.853,00;2.506.363,00;3.007.751,00;2.841.307,00;2.341.773,00;3.376.162,00;2.627.423,00;3.702.369,00;2.598.439,00;4.524.048,00;6.123.476,00;7.809.061,00;7.605.912,00;8.908.218,00;9.332.646,00;7.870.793,00;7.903.159,00;11.367.849,00;10.071.015,00;11.021.450,00;8.001.944,00;10.982.813,00;10.185.486,00;8.564.745,00;8.990.377,00;7.605.648,00;4.286.807,00;7.955.879,00;5.524.997,00;0;3.794.245,00;33.620.117,00;0;4.524.468,00
44;br_Delaware;Delaware;22.705,00;22.883,00;7.517,00;0,00;0,00;0,00;0,00;0,00;0,00;19.359,00;18.249,00;4.630,00;23.875,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.360,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
